标签,工程用非合金钢  镇静钢,,,,,,,,,,,,,,,
Unnamed: 0,成分,C,Si,Mn,P,S,Al,,,,,,,,,
厚度t≤30 GF,最小值,-,-,-,-,-,0.02,,,,,,,,,
厚度t≤30 GF,最大值,0.2,0.55,1.6,0.035,0.035,-,,,,,,,,,
厚度 t mm,抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,,,,,,,,,,,,,
t≤16,490~640,≥355,≥22,,,,,,,,,,,,,
16＜t≤40,490~640,≥345,≥22,,,,,,,,,,,,,
40＜t≤63,490~640,≥335,≥21,,,,,,,,,,,,,
63＜t≤80,490~640,≥325,≥20,,,,,,,,,,,,,
80＜t≤100,490~640,≥315,≥20,,,,,,,,,,,,,
100＜t≤150,490~640,≥295,≥18,,,,,,,,,,,,,
150＜t≤200,490~640,≥285,≥17,,,,,,,,,,,,,
牌号,LT01,,,,,,,,,,,,,,,
对应标准,GB /T 5065-2004 热镀铅锡合金碳素钢冷轧薄钢板及钢带,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,更多,,,,,,,
最小值,0.05,-,0.25,-,-,-,-,-,Als：0.02~0.07,,,,,,,
最大值,0.11,0.03,0.65,0.035,0.035,0.1,0.3,0.25,Als：0.02~0.07,,,,,,,
牌号,20,,,,,,,,,,,,,,,
中国ISC,U20202,,,,,,,,,,,,,,,
对应标准,GB 6479-2013 高压化肥设备用无缝钢管,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr ①,Ni ①,Cu ①,Mo ①,V ①,,,,,,
最小值,0.17,0.17,0.35,-,-,-,-,-,-,-,,,,,,
最大值,0.23,0.37,0.65,0.025,0.015,0.25,0.25,0.2,0.15,0.08,,,,,,
牌号,85,,,,,,,,,,,,,,,
中国ISC,U20852,,,,,,,,,,,,,,,
对应标准,GB /T 699-1999 优质碳素结构钢,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
性能,强度  硬度,,,,,,,,,,,,,,,
说明,85号钢强度、硬度比其他高碳结构钢要高，但弹性略低，其它性能与65、70、75、80钢均相似，淬透性也不高，在油中临界淬透直径为9-23mm。 85号钢适用于制造截面尺寸不大与承受强度不太高的振动弹簧，如铁道车辆、汽车、拖拉机及一般机械上的扁形弹簧和圆形螺旋弹簧以及其他用途的弹簧钢丝和钢带等。 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,,,,,,,,
最小值,0.82,0.17,0.5,-,-,-,-,-,,,,,,,,
最大值,0.9,0.37,0.8,0.035,0.035,0.25,0.3,0.25,,,,,,,,
直径（厚度） d mm,热处理或状态,抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,硬度 HBW,,,,,,,,,,,
试样,淬火+回火,≥1130,≥980,≥6,未热处理钢≤302,,,,,,,,,,,
,,,,,退火钢≤255,,,,,,,,,,,
牌号,TDC,,,,,,,,,,,,,,,
对应标准,ISO 8458-3-1992 机械弹簧用钢丝 第3部分 油淬火和回火钢丝,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
性能,弹性,,,,,,,,,,,,,,,
标签,油淬火回火碳素弹簧钢丝,,,,,,,,,,,,,,,
说明,本标准规定了用于制造静负荷和动负荷机械弹簧的油淬火回火碳及第合金钢丝的要求，应符合ISO 8458-1的通用要求,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cu,,,,,,,,,,
最小值,0.6,0.1,0.5,-,-,-,,,,,,,,,,
最大值,0.75,0.35,1.2,0.02,0.025,0.12,,,,,,,,,,
美国UNS,G11190,,,,,,,,,,,,,,,
ASTM  型号或牌号,1119,,,,,,,,,,,,,,,
对应标准,ASTM A29/A29M-2012 热锻碳素钢和合金钢棒材一般要求标准规范,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
性能,易切削性,,,,,,,,,,,,,,,
标签,硫处理碳素钢  易切削钢,,,,,,,,,,,,,,,
成分,C,Mn,P,S,,,,,,,,,,,,
最小值,0.14,1,-,0.24,,,,,,,,,,,,
最大值,0.2,1.3,0.04,0.33,,,,,,,,,,,,
牌号,P235TR1,,,,,,,,,,,,,,,
欧标钢号,1.0254,,,,,,,,,,,,,,,
对应标准,EN 10216-1-2004 承压用无缝钢管-交货技术条件 第1部分：规定室温特性的非合金钢管,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,Ti,V,Nb,更多,,,
最小值,-,-,-,-,-,-,-,-,-,-,-,-,Cr+Cu+Mo+Ni ≤0.7%,,,
最大值,0.16,0.35,1.2,0.025,0.02,0.3,0.3,0.3,0.08,0.04,0.02,0.01,Cr+Cu+Mo+Ni ≤0.7%,,,
牌号,23MnB3,,,,,,,,,,,,,,,
欧标钢号,1.5507,,,,,,,,,,,,,,,
对应标准,EN 10269-2013 规定高温和/或低温性能的紧固件用钢和镍合金,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,调质型钢,,,,,,,,,,,,,,,
密度,7.85 g/cm3,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Cu,Ti,B,Al,,,,,,
最小值,0.21,-,0.8,-,-,0.25,-,-,0.0008,0.02,,,,,,
最大值,0.25,0.15,1,0.015,0.015,0.35,0.25,0.06,0.005,0.08,,,,,,
直径 d mm,热处理或状态,抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,断面收缩率ψ %,冲击吸收能量KV2 J,,,,,,,,,,
-*,#NAME?,≤520,-,-,≥64,-,,,,,,,,,,
d≤16**,#NAME?,800~950,≥640,≥14,≥52,≥40,,,,,,,,,,
牌号,E5015-1M3,,,,,,,,,,,,,,,
对应标准,GB /T 5117-2012 非合金钢及细晶粒钢焊条,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,熔敷金属,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Mo,,,,,,,,,,
最小值,-,-,-,-,-,0.4,,,,,,,,,,
最大值,0.12,0.6,0.9,0.03,0.03,0.65,,,,,,,,,,
抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,,,,,,,,,,,,,,
≥490,≥400,≥20,,,,,,,,,,,,,,
牌号,11SMn28,,,,,,,,,,,,,,,
ISO数字牌号,2,,,,,,,,,,,,,,,
对应标准,ISO 683-9-1988 热处理钢、合金钢和易切削钢.第9部分:锻造易切削钢,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
性能,易切削性,,,,,,,,,,,,,,,
标签,非热处理型易切削钢  硫锰系易切削钢,,,,,,,,,,,,,,,
说明,可用于制作螺栓、螺母、管接头、弹簧座等,,,,,,,,,,,,,,,
成分,C,Si,Mn,P ①,S,,,,,,,,,,,
最小值,-,-,0.9,-,0.24,,,,,,,,,,,
最大值,0.14,0.05,1.3,0.11,0.33,,,,,,,,,,,
牌号,FH460,,,,,,,,,,,,,,,
对应标准,GB 712-2011 船舶及海洋工程用结构钢,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,超高强度结构钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,N,,,,,,,,,,
最小值,-,-,-,-,-,-,,,,,,,,,,
最大值,0.18,0.55,1.6,0.02,0.02,0.02,,,,,,,,,,
牌号,C35EC,,,,,,,,,,,,,,,
欧标钢号,1.1172,,,,,,,,,,,,,,,
对应标准,EN 10263-4-2001 冷加工和冷挤压的钢棒、棒材和线材 第4部分 淬火和回火钢交货的一般技术条件,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C ①,Si ②,Mn,P,S,Cu,,,,,,,,,,
最小值,0.32,-,0.5,-,-,-,,,,,,,,,,
最大值,0.39,0.3,0.8,0.025,0.025,0.25,,,,,,,,,,
牌号,St33,,,,,,,,,,,,,,,
德国W-Nr.,1.0035,,,,,,,,,,,,,,,
对应标准,DIN 17100-1980 普通结构钢质量标准,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,结构钢,,,,,,,,,,,,,,,
厚度 t mm,抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,,,,,,,,,,,,,
t＜3,310~540,≥185,8~14,,,,,,,,,,,,,
3≤t≤16,≥290,≥185,16~18,,,,,,,,,,,,,
16＜t≤40,≥290,≥175,16~18,,,,,,,,,,,,,
40＜t≤100,≥290,,,,,,,,,,,,,,,
对应标准,牌号,,,,,,,,,,,,,,,
DIN 17100-1980,牌号  St33  德国W-Nr.  1.0035,,,,,,,,,,,,,,,
DIN EN 10025-2-2019,牌号  S185  德国W-Nr.  1.0035,,,,,,,,,,,,,,,
牌号,DC06,,,,,,,,,,,,,,,
中国ISC,U40086,,,,,,,,,,,,,,,
旧牌号,SC3,,,,,,,,,,,,,,,
对应标准,GB /T 5213-2019 冷轧低碳钢板及钢带,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
说明,旧牌号来源于GB/T 5213-2001,,,,,,,,,,,,,,,
成分,C,Mn,P,S,Ti ①,Al,,,,,,,,,,
最小值,-,-,-,-,-,0.015,,,,,,,,,,
最大值,0.02,0.3,0.02,0.02,0.2,-,,,,,,,,,,
牌号,50,,,,,,,,,,,,,,,
对应标准,GOST 1050-1988 表面光洁的优质碳素结构钢棒料规格,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
性能,焊接性  渗碳性,,,,,,,,,,,,,,,
标签,优质碳素结构钢  镇静钢,,,,,,,,,,,,,,,
说明,相当于我国的50钢。,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,As,,,,,,,
最小值,0.47,0.17,0.5,-,-,-,-,-,-,,,,,,,
最大值,0.55,0.37,0.8,0.035,0.04,0.25,0.3,0.3,0.08,,,,,,,
牌号,FDSiMn,,,,,,,,,,,,,,,
对应标准,GB /T 18983-2017 淬火-回火弹簧钢丝,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
说明,静态级钢丝，代号前缀字母FD，适用于一般用途弹簧。 FDSiMn，常用其他代表性牌号：60Si2Mn。,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Ni,Cu,,,,,,,,,
最小值,0.56,1.5,0.7,-,-,-,-,,,,,,,,,
最大值,0.64,2,1,0.025,0.02,0.35,0.25,,,,,,,,,
牌号,1010,,,,,,,,,,,,,,,
美国UNS,G10100,,,,,,,,,,,,,,,
对应标准,SAE J 403-2001 碳素钢化学成分,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
性能,锻压性,,,,,,,,,,,,,,,
说明,注： 1.硅-棒材或半成品时含量，通常使用下列范围：0.1%max;0.1~0.2%;0.15~0.35%;0.2~0.4%或0.3~0.6% 2.要求规定Cu含量时，Cu≤0.20%,,,,,,,,,,,,,,,
成分,C,Mn,P,S,,,,,,,,,,,,
最小值,0.08,0.3,-,-,,,,,,,,,,,,
最大值,0.13,0.6,0.03,0.05,,,,,,,,,,,,
对应标准,牌号,,,,,,,,,,,,,,,
SAE J 403-2001,牌号  1010  美国UNS  G10100,,,,,,,,,,,,,,,
SAE J403-2014,牌号  1010  美国UNS  G10100,,,,,,,,,,,,,,,
牌号,T10A,,,,,,,,,,,,,,,
中国ISC,T00103,,,,,,,,,,,,,,,
对应标准,GB /T 1298-2008 碳素工具钢,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,高级优质钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,W,V,,,,,
最小值,0.95,-,-,-,-,-,-,-,-,-,-,,,,,
最大值,1.04,0.35,0.4,0.03,0.02,0.25,0.2,0.25,0.2,0.3,0.02,,,,,
牌号,C18,,,,,,,,,,,,,,,
对应标准,ISO 683-18-1996 热处理钢、合金钢和易切削钢,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,直接淬火钢  优质非合金结构钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,,,,,,,,,,,
最小值,0.15,0.1,0.6,-,-,,,,,,,,,,,
最大值,0.2,0.4,0.9,0.045,0.045,,,,,,,,,,,
牌号,C58D,,,,,,,,,,,,,,,
欧标钢号,1.0609,,,,,,,,,,,,,,,
对应标准,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,Al,,,,,,
最小值,0.55,0.1,0.5,-,-,-,-,-,-,-,,,,,,
最大值,0.6,0.3,0.8,0.035,0.035,0.15,0.2,0.25,0.05,0.01,,,,,,
牌号,S09CK,,,,,,,,,,,,,,,
旧牌号,S9CK,,,,,,,,,,,,,,,
对应标准,JIS G 4051-2005 机械结构用碳素钢,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
性能,锻压性  易切削性,,,,,,,,,,,,,,,
标签,碳素结构钢,,,,,,,,,,,,,,,
说明,本标准对由热轧、热锻等热加工制成，通常用于锻造、切削加工及实施热处理的机械用碳素结构钢做了规定。不适用于管材,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr *,Ni,Cu,更多,,,,,,,
最小值,0.07,0.1,0.3,-,-,-,-,-,Ni+Cr≤0.3%*,,,,,,,
最大值,0.12,0.35,0.6,0.025,0.025,0.2,0.2,0.25,Ni+Cr≤0.3%*,,,,,,,
牌号,E355,,,,,,,,,,,,,,,
欧标钢号,1.058,,,,,,,,,,,,,,,
对应标准,EN 10305-1-2010 精密钢管交货技术条件第1部分冷拉无缝钢管,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Al,,,,,,,,,,
最小值,-,-,-,-,-,0.02,,,,,,,,,,
最大值,0.22,0.55,1.6,0.025,0.025,-,,,,,,,,,,
条件,标记,热处理或状态,抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,,,,,,,,,,,
无缝钢管,E355 +N,正火（+N）,490~630,ⓐ≥355,≥22,,,,,,,,,,,
无缝钢管,E355 +SR,冷拔及消除应力（+SR）,≥580,ⓑ≥450,≥10,,,,,,,,,,,
无缝钢管,E355 +A,软化退火（+A）**,≥450,,≥22,,,,,,,,,,,
无缝钢管,E355 +LC,冷精整（+LC）*,≥580,,≥7,,,,,,,,,,,
无缝钢管,E355 +C,冷拔硬化（+C）*,≥640,,≥4,,,,,,,,,,,
牌号,Y08Pb,,,,,,,,,,,,,,,
中国ISC,U72082,,,,,,,,,,,,,,,
对应标准,GB /T 8731-2008 易切削结构钢,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,铅系易切削钢,,,,,,,,,,,,,,,
说明,本标准适用于机械切削加工用条钢、盘条、钢丝、钢板及钢带等钢材，其化学成分同样适用于锭、坯及其制品,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Pb,,,,,,,,,,
最小值,-,-,0.75,0.04,0.26,0.15,,,,,,,,,,
最大值,0.09,0.15,1.05,0.09,0.35,0.35,,,,,,,,,,
直径 d mm,抗拉强度σb Mpa,延伸率δ %,硬度 HBW,,,,,,,,,,,,,
d=20（试样直径）,热轧状态交货360~570,热轧状态交货≥25,热轧状态交货≤165,,,,,,,,,,,,,
d=8~20（钢材尺寸）,冷拉状态交货480~810,冷拉状态交货≥7,冷拉状态交货140~217,,,,,,,,,,,,,
d>20~30（钢材尺寸）,460~710,≥7,140~217,,,,,,,,,,,,,
d>30（钢材尺寸）,360~710,≥7,140~217,,,,,,,,,,,,,
牌号,C20C,,,,,,,,,,,,,,,
欧标钢号,1.0411,,,,,,,,,,,,,,,
对应标准,EN 10263-2-2001 冷镦和冷挤压用钢棒、杆和丝.第2部分:冷加工后不热处的钢的交货技术条件,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,非热处理钢,,,,,,,,,,,,,,,
说明,EN10263 标准的本部分适用于用于冷镦和冷挤压，对最终零件无需进行后续热处理的，直径不大 于 100mm 的圆形非合金钢或合金钢钢棒、盘条和钢丝,,,,,,,,,,,,,,,
成分,C,Si ①,Mn ②,P,S,Al ③,,,,,,,,,,
最小值,0.18,-,0.7,-,-,0.02,,,,,,,,,,
最大值,0.22,0.1,0.9,0.025,0.025,0.06,,,,,,,,,,
直径 d mm,抗拉强度σb Mpa,断面收缩率ψ %,,,,,,,,,,,,,,
5＜d≤100 (+U 或+U+PE),≤560,≥55,,,,,,,,,,,,,,
5＜d≤100 (+AC 或 AC+PE),≤480,≥65,,,,,,,,,,,,,,
5＜d≤10 (+U+C),≤650,≥53,,,,,,,,,,,,,,
10＜d≤40 (+U+C),≤640,≥53,,,,,,,,,,,,,,
2＜d≤5 (+U+C+AC),≤470,≥67,,,,,,,,,,,,,,
5＜d≤40 (+U+C+AC),≤460,≥67,,,,,,,,,,,,,,
2＜d≤5 (+U+C+AC+LC),≤510,≥63,,,,,,,,,,,,,,
5＜d≤40 (+U+C+AC+LC),≤500,≥63,,,,,,,,,,,,,,
5＜d≤10 (+AC+C),≤570,≥60,,,,,,,,,,,,,,
10＜d≤40 (+AC+C),≤560,≥60,,,,,,,,,,,,,,
牌号,CE35B,,,,,,,,,,,,,,,
旧牌号,E5,,,,,,,,,,,,,,,
对应标准,ISO 4954-1993 冷镦和冷挤压用钢,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,调质型冷镦钢  硼钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,B ①,Al ②,,,,,,,,,
最小值,0.32,-,0.5,-,-,0.0008,-,,,,,,,,,
最大值,0.39,0.4,0.8,0.035,0.035,0.005,0.02,,,,,,,,,
牌号,ML40Cr,,,,,,,,,,,,,,,
中国ISC,U20404,,,,,,,,,,,,,,,
对应标准,GB /T 6478-2015 冷镦和冷挤压用钢,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
性能,锻压性,,,,,,,,,,,,,,,
标签,优质碳素结构钢  铆螺钢,,,,,,,,,,,,,,,
说明,调质型冷镦和冷挤压用钢。 冷变形塑性中等，具有良好的综合力学性能和较高的疲劳强度，淬透性和可加工性均好 用于制作高表面硬度、高耐磨性的紧固件，如螺钉、螺母、铆钉等 1、本标准适用于公称直径为5mm~60mm的热轧盘条和公称直径为12mm~100mm的热轧圆钢。 2、钢材交货状态：一般以热轧状态交货。经供需双方协商，并在合同中注明，也可以退火状态交货。,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,,,,,,,,,,
最小值,0.38,0.1,0.6,-,-,0.9,,,,,,,,,,
最大值,0.43,0.3,0.9,0.025,0.025,1.2,,,,,,,,,,
直径 d mm,热处理或状态,抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,断面收缩率ψ %,,,,,,,,,,,
5(12)≤d≤60(100),调质型,≤620,,,≥58,,,,,,,,,,,
d=25（试样直径）,经热处理（热轧状态）,≥900,≥660,≥11,,,,,,,,,,,,
牌号,Q235GJ-C,,,,,,,,,,,,,,,
中国ISC,U32355,,,,,,,,,,,,,,,
对应标准,GB /T 19879-2015 建筑结构用钢板,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,Mo,Al ①,更多,,,,,
最小值,-,-,0.6,-,-,-,-,-,-,0.015,V+Nb+Ti≤0.15%,,,,,
最大值,0.2,0.35,1.5,0.025,0.015,0.3,0.3,0.3,0.08,-,V+Nb+Ti≤0.15%,,,,,
牌号,E5013,,,,,,,,,,,,,,,
对应标准,GB /T 5117-2012 非合金钢及细晶粒钢焊条,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,熔敷金属,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Mo,V,,,,,,,
最小值,-,-,-,-,-,-,-,-,-,,,,,,,
最大值,0.2,1,1.2,0.035,0.035,0.2,0.3,0.3,0.08,,,,,,,
抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,,,,,,,,,,,,,,
≥490,≥400,≥16,,,,,,,,,,,,,,
牌号,E5016-NCC,,,,,,,,,,,,,,,
对应标准,GB /T 5117-2012 非合金钢及细晶粒钢焊条,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,熔敷金属,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,,,,,,,,
最小值,-,-,0.3,-,-,0.45,0.05,0.3,,,,,,,,
最大值,0.12,0.9,1.4,0.03,0.03,0.75,0.45,0.7,,,,,,,,
抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,,,,,,,,,,,,,,
≥490,≥390,≥20,,,,,,,,,,,,,,
牌号,21B3,,,,,,,,,,,,,,,
对应标准,NF A 35-551-1986 渗碳处理的碳素结构钢和特殊合金结构钢钢号 半成品、棒材和线,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
性能,渗碳性,,,,,,,,,,,,,,,
标签,硼钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,B,,,,,,,,,,
最小值,0.18,0.1,0.6,-,-,0.0008,,,,,,,,,,
最大值,0.24,0.4,0.9,0.035,0.035,0.005,,,,,,,,,,
牌号,E 460 DD,,,,,,,,,,,,,,,
对应标准,ISO 4950-3-1995 高屈服强度扁钢材 第3部分:按热处理(淬火+回火)条件提供的钢材,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr ①,Ni ①,Cu ①,Mo ①,N ①,Ti ①②,V ①②③,Nb ①②,Zr ①②,B ①,Al ②
最小值,-,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-
最大值,0.2,0.55,1.7,0.035,0.035,2,2,1.5,1,0.02,0.2,0.1,0.06,0.15,0.005,0.02
厚度 t mm,抗拉强度σb Mpa,屈服点σs Mpa,延伸率δ %,冲击吸收能量KV2 J,,,,,,,,,,,,
t≤50,570~720,≥460,≥17,-20℃≥39,,,,,,,,,,,,
50＜t≤70,570~720,≥440,≥17,≥39,,,,,,,,,,,,
牌号,C35RC,,,,,,,,,,,,,,,
欧标钢号,1.106,,,,,,,,,,,,,,,
对应标准,EN 10263-4-2001 冷加工和冷挤压的钢棒、棒材和线材 第4部分 淬火和回火钢交货的一般技术条件,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C ①,Si ②,Mn,P,S,Cu,,,,,,,,,,
最小值,0.32,-,0.5,-,0.02,-,,,,,,,,,,
最大值,0.39,0.3,0.8,0.025,0.035,0.25,,,,,,,,,,
牌号,1010,,,,,,,,,,,,,,,
美国UNS,G10100,,,,,,,,,,,,,,,
对应标准,ASTM A 29/A 29M-05 热锻碳钢和合金棒材的标准,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
性能,锻压性,,,,,,,,,,,,,,,
说明,注： 1.要求硅Si含量时，通常使用下列范围或极限：0.1%max；0.1~0.2%；0.15~0.35%；0.2~0.4%或0.3~0.6% 2.需要添加Cu含量≤0.20%,,,,,,,,,,,,,,,
成分,C,Mn,P,S,,,,,,,,,,,,
最小值,0.08,0.3,-,-,,,,,,,,,,,,
最大值,0.13,0.6,0.04,0.05,,,,,,,,,,,,
牌号,08nc,,,,,,,,,,,,,,,
对应标准,GOST 1050-1988 表面光洁的优质碳素结构钢棒料规格,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
标签,优质碳素结构钢  半镇静钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,As,,,,,,,
最小值,0.05,0.05,0.35,-,-,-,-,-,-,,,,,,,
最大值,0.11,0.17,0.65,0.035,0.04,0.1,0.3,0.3,0.08,,,,,,,
牌号,SM35,,,,,,,,,,,,,,,
对应标准,YB /T 107-2013 塑料模具用热轧钢板,,,,,,,,,,,,,,,
归类,碳钢,,,,,,,,,,,,,,,
成分,C,Si,Mn,P,S,Cr,Ni,Cu,更多,,,,,,,
最小值,0.32,0.17,0.5,-,-,-,-,-,Ni+Cr≤0.35%,,,,,,,
最大值,0.38,0.37,0.8,0.025,0.025,0.2,0.2,0.3,Ni+Cr≤0.35%,,,,,,,
