牌号,对应标准,归类,标签,说明,美国UNS,ASTM  型号或牌号,性能,中国ISC,德国W-Nr.,欧标钢号,密度,旧牌号,其他名称,ISO数字牌号,SAE  钢号,AISI  美国钢铁协会
,ASTM A29/A29M-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,硫处理碳素钢,,G11400,1140,,,,,,,,,,
Q275A,GB /T 700-2006 碳素结构钢,碳钢,镇静钢  质量等级A  碳素结构钢,具有较高的强度、硬度，较好的耐磨性，一定的焊接性和可加工性，小型零件可以淬火强化，塑性和韧性较差。 用户举例： 用于制造强度要求较高的零件，如齿轮、轴、链轮、键、螺栓、螺母、农机用型钢、输送链和链节，以及钢结构用各种型钢、条钢、钢板等。 本标准适用于一般交货状态使用，通常用于焊接、铆接、栓接工程结构用热轧钢板、钢带、型钢和钢棒 ①牌号后缀字母：A、B、C、D表示质量等级 ②F--沸腾钢；Z--镇静钢；TZ--特殊镇静钢 在牌号组成表示中，Z与TZ符号可以省略不写,,,焊接性,U12752,,,,,Q275AZ,,,
060A67,BS 970-1-1983 英国标准规范机械和相关工程用锻钢 第一部分 碳钢，碳锰钢，合金钢和不锈钢的一般检验试验程序和具体要求,碳钢,,,,,,,,,,,,,,
ML35,GB /T 5953-1999 冷镦钢丝,碳钢,,,,,,,,,,,,,,
S45C,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
QSt34-3,DIN 1654-2-1989 冷镦和冷挤压钢 非热处理镇静碳钢的交货条件,碳钢,镇静钢,,,,锻压性,,1.0213,,,,,,,
T8,GB /T 1299-2014 工模具钢,碳钢,刃具模具用非合金钢,,,,,T00080,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,M系列碳素钢,,G10440,M1044,,,,,,,,,,
P295GH,EN 10222-2-2017 压力用途用钢制锻件 第2部分 具有高温特性的铁素体和马氏体钢,碳钢,,,,,,,,1.0481,,,,,,
E5028,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
8,GB /T 699-1999 优质碳素结构钢,碳钢,优质碳素结构钢,极软低碳钢，强度、硬度很低，塑性，韧性极好，冷加工性好，淬透性、淬硬性极差，时效敏感性比08F稍弱，不宜切削加工，退火后导磁性好。 宜轧制成薄板、薄带、冷变形材，冷拉、冷冲压、焊接件，表面硬化件。 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,低温韧性,U20082,,,,,,,,
DH500,GB 712-2011 船舶及海洋工程用结构钢,碳钢,超高强度结构钢,,,,,,,,,,,,,
E360,EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,不允许沸腾钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,,1.007,7.85 g/cm3,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15410,1541,,,,,,1041,,,,
C25E,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
PH 23,ISO 9330-4-2000 具有特定高温性能的埋弧焊非合金和合金钢管,碳钢,,,,,,,,,,,,,,
IFI-1022/B,"ASTM F2282-2018 机械紧固件用碳素和合金钢丝, 杆材和棒材质量保证要求标准规范",碳钢,,,,,,,,,,,,,,
C15D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0413,,,,,,
SWRCH8R,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,沸腾钢,,,,,,,,,,,,,
S235JR,DIN EN 10025-1994 热轧非合金结构钢产品交货技术条件,碳钢,普通结构钢,"该钢可制造焊接螺柱等紧固件。 对应以前德国的材料牌号St37-2，法国牌号E24-2，意大利牌号Fe360B，比利时牌号AE235-B,瑞典牌号1311-00，葡萄牙牌号Fe360-B,挪威牌号NS12120(参考DIN EN 10025-1994中文版 附录C.1 可比较的以前钢牌号对照表）",,,,,1.0037,,,,,,,
0/1,BS 3111(1)-1987 用于冷锻紧固件和类似部件的钢 第1部分：碳钢和低合金钢钢丝规范,碳钢,,用于制造螺栓、螺钉、螺母等紧固件。,,,锻压性,,,,,,,,,
RSt 36,DIN 17111-1980 螺栓、螺母和铆钉用低碳非合金钢,碳钢,镇静钢,1、本标准适用于产品厚度最大不超过40mm，不进行热处理(淬火和回火)和表面硬化，并用于热或冷成形的螺栓，螺母和铆钉的非合金低碳钢，与之相关的是强度要求或切削性能。 2、举例：钢UQSt 36，数字代号1.0204，条件未经处理轧制表面（U或00）表示为 UQSt 36U或1.2040.00,,,,,1.0205,,7.85 g/cm3,,,,,
10S20,EN 10277-2018 光亮产品-发货技术条件,碳钢,易切削渗碳钢,,,,,,,1.0721,,,,,,
1118,SAE J403-2014 碳钢的化学成分,碳钢,,,G11180,,,,,,,,,,,
STKM 12B,JIS G 3445-2016 机械结构用碳素钢管,碳钢,,,,,,,,,,,,,,
C45R,DIN EN ISO 683-1-2018 热处理钢、合金钢和易切削钢 -- 第1部分：调质非合金钢,碳钢,高级优质非合金钢,,,,,,,,,,,,,
C55,DIN 17222-1979 弹簧用冷轧带钢; 交货技术条件,碳钢,优质钢,,,,,,1.0535,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15360,1536,,,,,,1036,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,硫处理碳素钢,,G11390,1139,,,,,,,,,,
SWRCH6A,,碳钢,铝镇静钢,是生产商（鞍钢）材料。标准Q/ASB 325 冷镦用碳素钢盘条,,,,,,,,,,,,
SWCH 6A,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,镇静钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
45 S 20,EU 87(1970) 高速削切钢,碳钢,高速削切热处理钢,,,,,,,,,,,,,
20R,GB 6654-1996 压力容器用钢板,碳钢,,,,,,U50204,,,,,,,,
A194 Grade 2,ASTM A194/A194M-2020 高温、高压或高温高压环境用螺栓用碳素钢、合金钢和不锈钢螺母标准规范,碳钢,,工艺： ⓐ 1和2螺母应是热锻或冷锻的，或用经热锻、热轧、冷拉棒料加工制成。 ⓑ用棒材成形或加工制成的所有1和2螺母，应在至少1000°F（538“C）的温度下消除应力，以下情况除外： 经热锻制造的螺母 经热锻或热轧棒材加工制成的螺母 经热锻/热轧并冷精整（最大断面收缩率10%）棒料加工制成的螺母 经冷拉和最低温度538°C退火棒料加工制成的螺母,,,,,,,,,,,,
380Y,ISO 13887-2017 具有更高的屈服强度和更好的成形性冷轧薄钢板,碳钢,,,,,,,,,,,,,,
T11A,GB /T 1298-2008 碳素工具钢,碳钢,高级优质钢,,,,,T00113,,,,,,,,
1022,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10220,,,,,,,,,,,
Cm55,DIN 17200-1987 调质钢材的供货技术条件,碳钢,高级优质非合金钢,本标准适用于： ——半成品，例如：初轧坯、扁钢坯、棒料坯。 ——热轧钢 ——热轧或锻造钢棒（圆钢、四方钢、六角钢、八角钢和扁钢） ——热轧宽钢带 ——热轧或冷轧钢板和钢带 ——自由锻锻件和模锻锻件,,,,,1.1209,,,,,,,
A546 Grade 1541,ASTM A546-1982 中高碳钢丝，冷镦优质，六角头螺栓,碳钢,碳钢,在本标准中只对化学成分做出规定，没规定力学性能。本标准于1991被撤销,,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10260,1026,,,,,,,,,,
A307 Grade A,"ASTM A307-2014 抗拉强度为60000 PSI的碳钢螺栓, 螺柱和螺杆的标准规格",碳钢,,,,,,,,,,,,,,
C45RC,EN 10263-4-2001 冷加工和冷挤压的钢棒、棒材和线材 第4部分 淬火和回火钢交货的一般技术条件,碳钢,,,,,,,,1.1061,,,,,,
10nc,GOST 1050-1988 表面光洁的优质碳素结构钢棒料规格,碳钢,优质碳素钢  半镇静钢,,,,,,,,,,,,,
SM45,YB /T 107-2013 塑料模具用热轧钢板,碳钢,,,,,,,,,,,,,,
C105U,DIN EN ISO 4957-2018 工具钢,碳钢,冷作非合金工具钢,,,,,,1.1545,,7.85 g/cm3,,,,,
A108 Grade 1045,ASTM A108-1999 冷成形钢棒品质的标准规范,碳钢,,本规范涵盖按化学成分生产的标准质量冷加工碳钢棒。标准质量的冷加工棒材适用于热处理，加工成部件，或在成品状态下使用，如轴系，或建筑应用，或用于其他类似用途。钢材的等级由等级编号或化学成分确定。,G10450,,,,,,,,,,,
34Cr4E,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,表面硬化型冷镦钢,,,,,,,,,C14,,,,
E5516-N5,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
A194 Grade 2H,ASTM A194/194M-2016 高温、高压或高温高压环境用螺栓用碳素钢、合金钢和不锈钢螺母标准规范,碳钢,,2H螺母应由热锻或冷锻制成，或由经热锻、热轧、冷拉的棒料加工制成，并应进行热处理以满足机械性能的要求。此等级牌号应均匀地再加热到适当的奥氏体温度(一组这样的再加热称为淬火批)，并对每一淬火批在基本上均匀条件下淬火，然后进行回火，其热处理制度为在液体中淬火；最低回火温度850°F(455°C)。按本标准热处理的棒料加工制成的螺母不必重新热处理。 本标准的适用范围 ①本标准适用于规格1/4~4英寸以及M6~M100的各种碳钢、合金钢和马氏体不锈钢螺母。也适用于规格1/4英寸和M6及以上的奥氏体不锈钢螺母。这些螺母适用于高温或高压或高温高压环境。未经买方允许不得更换螺母等级。 ②制作螺母的棒料应热锻。材料可以通过无心磨削或冷拉进一步加工。奥氏体不锈钢可以固溶处理或退火并应变硬化。当按照补充要求S1订退火及应变硬化的奥氏体不锈钢时，买方应特别注意是一定要完全理解补充要求S1和附录X1的内容。 ③补充要求供选择使用， 只有在询价、合同和订单中规定的情况下才适用。,,,,,,,,,,,,
TCR550,ISO 4999-2014 商用、拉拔和结构用连续热浸镀锡（铅合金）冷还原碳钢板,碳钢,,,,,,,,,,,,,,
A706 Grade 60,ASTM A706/A706M-2016 钢筋混凝土配筋用低合金变形钢筋和光面钢筋,碳钢,,注：碳当量CEV为0.55,,,,,,,,,G60,,,
SS400,JIS G 3101-2015 普通结构用轧制钢材,碳钢,,,,,,,,,,,,,,
35SMn20,ISO 683-9-1988 热处理钢、合金钢和易切削钢.第9部分:锻造易切削钢,碳钢,直接淬火型易切削钢  硫锰系易切削钢,,,,易切削性,,,,,,,8,,
Q275AF,GB /T 700-2006 碳素结构钢,碳钢,沸腾钢  质量等级A  碳素结构钢,具有较高的强度、硬度，较好的耐磨性，一定的焊接性和可加工性，小型零件可以淬火强化，塑性和韧性较差。 用户举例： 用于制造强度要求较高的零件，如齿轮、轴、链轮、键、螺栓、螺母、农机用型钢、输送链和链节，以及钢结构用各种型钢、条钢、钢板等。 本标准适用于一般交货状态使用，通常用于焊接、铆接、栓接工程结构用热轧钢板、钢带、型钢和钢棒 ①牌号后缀字母：A、B、C、D表示质量等级 ②F--沸腾钢；Z--镇静钢；TZ--特殊镇静钢 在牌号组成表示中，Z与TZ符号可以省略不写,,,焊接性,U12750,,,,,Q275,,,
060A72,BS 970-1-1983 英国标准规范机械和相关工程用锻钢 第一部分 碳钢，碳锰钢，合金钢和不锈钢的一般检验试验程序和具体要求,碳钢,,,,,,,,,,,,,,
ML40,GB /T 5953-1999 冷镦钢丝,碳钢,,,,,,,,,,,,,,
S48C,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
QSt36-3,DIN 1654-2-1989 冷镦和冷挤压钢 非热处理镇静碳钢的交货条件,碳钢,,是制造DIN 7337 (A) - 1991 开口型平圆头抽芯铆钉的材料之一,,,锻压性,,1.0214,,,,,,,
T8Mn,GB /T 1299-2014 工模具钢,碳钢,刃具模具用非合金钢,,,,,T01080,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15270,1527,,,,,,1027,,,,
P305GH,EN 10222-2-2017 压力用途用钢制锻件 第2部分 具有高温特性的铁素体和马氏体钢,碳钢,,,,,,,,1.0436,,,,,,
C50R,EN 10083-2-2006 淬火和回火钢.第2部分:非合金钢交货技术条件,碳钢,,,,,,,,1.1241,,,,,,
E5048,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
S10C,JIS G 4051-2005 机械结构用碳素钢,碳钢,,本标准对由热轧、热锻等热加工制成，通常用于锻造、切削加工及实施热处理的机械用碳素结构钢做了规定。不适用于管材,,,,,,,,,,,,
S185,EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,,1.0035,7.85 g/cm3,,,,,
DH550,GB 712-2011 船舶及海洋工程用结构钢,碳钢,超高强度结构钢,,,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15470,1547,,,,,,,,,,
C25R,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
PH 26,ISO 9330-4-2000 具有特定高温性能的埋弧焊非合金和合金钢管,碳钢,,,,,,,,,,,,,,
IFI-1033,"ASTM F2282-2018 机械紧固件用碳素和合金钢丝, 杆材和棒材质量保证要求标准规范",碳钢,,,,,,,,,,,,,,
C18D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0416,,,,,,
SWRCH10R,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,沸腾钢,,,,,,,,,,,,,
S355JR,DIN EN 10025-1994 热轧非合金结构钢产品交货技术条件,碳钢,普通结构钢  不允许沸腾钢,"可用于制作焊接螺柱等紧固件。 对应以前的材料牌号法国牌号E36-2，意大利牌号Fe510B，比利时牌号AE355-B,英国牌号50B，葡萄牙牌号Fe510-B,西班牙牌号AE355B,奥地利St510C(参考DIN EN 10025-1994中文版 附录C.1 可比较的以前钢牌号对照表）",,,焊接性,,,,,,1.0045,,,
SWRCH45K,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
C10E2C,ISO 4954-2018 冷镦和冷挤压用钢,碳钢,,,,,,,,,,,,,,
1126,SAE J403-2014 碳钢的化学成分,碳钢,,,G11260,,,,,,,,,,,
C45,DIN EN ISO 683-1-2018 热处理钢、合金钢和易切削钢 -- 第1部分：调质非合金钢,碳钢,优质非合金钢,,,,,,,,,,,,,
C35E,EN 10083-2-2006 淬火和回火钢.第2部分:非合金钢交货技术条件,碳钢,,,,,,,,1.1181,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,硫处理碳素钢,,G11400,1140,,,,,,,,,,
,ASTM A1040-2010 锻制碳钢、低合金钢和合金钢统一标准等级成分指南,碳钢,,该牌号线材是制造自攻螺丝、机械螺丝、建筑螺丝、电子螺丝、汽车螺丝等的材料。 注 硅含量：≤0.1%；0.07～0.15%；0.1～0.2%；0.15～0.35%；0.2～0.4%或0.3～0.6%,G10350,1035,冲击韧性  易切削性  焊接性  渗碳性,,,,,C1035,,,,
C25,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
SWCH 12R,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,沸腾钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
A194 Grade 2H,ASTM A194/A194M-2020 高温、高压或高温高压环境用螺栓用碳素钢、合金钢和不锈钢螺母标准规范,碳钢,,2H螺母应由热锻或冷锻制成，或由经热锻、热轧、冷拉的棒料加工制成，并应进行热处理以满足机械性能的要求。此等级牌号应均匀地再加热到适当的奥氏体温度(一组这样的再加热称为淬火批)，并对每一淬火批在基本上均匀条件下淬火，然后进行回火，其热处理制度为在液体中淬火；最低回火温度850°F(455°C)。按本标准热处理的棒料加工制成的螺母不必重新热处理。,,,,,,,,,,,,
420Y,ISO 13887-2017 具有更高的屈服强度和更好的成形性冷轧薄钢板,碳钢,,,,,,,,,,,,,,
T12A,GB /T 1298-2008 碳素工具钢,碳钢,高级优质钢,,,,,T00123,,,,,,,,
SWRH62B,JIS G 3506-2017 高碳钢线材,碳钢,,用于制造高碳钢丝、油回火钢丝、预应力混凝土用高碳钢丝、镀锌钢丝绳、钢缆等的线材。同时，钢琴线材也包括在其中,,,,,,,,,,,,
1023,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10230,,,,,,,,,,,
Ck55,DIN 17200-1987 调质钢材的供货技术条件,碳钢,高级优质非合金钢,本标准适用于： ——半成品，例如：初轧坯、扁钢坯、棒料坯。 ——热轧钢 ——热轧或锻造钢棒（圆钢、四方钢、六角钢、八角钢和扁钢） ——热轧宽钢带 ——热轧或冷轧钢板和钢带 ——自由锻锻件和模锻锻件,,,,,1.1203,,,,,,,
CC21K,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,非热处理型冷镦钢  镇静钢,,,,,,,,,A5Si,,,,
A546 Grade 1030,ASTM A546-1982 中高碳钢丝，冷镦优质，六角头螺栓,碳钢,碳钢,在本标准中只对化学成分做出规定，没规定力学性能。本标准于1991被撤销,,,,,,,,,,,,
20MB5,NF A 35-551-1986 渗碳处理的碳素结构钢和特殊合金结构钢钢号 半成品、棒材和线,碳钢,锰硼钢,,,,渗碳性,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10290,1029,锻压性,,,,,,,,,
A307 Grade B,"ASTM A307-2014 抗拉强度为60000 PSI的碳钢螺栓, 螺柱和螺杆的标准规格",碳钢,,,,,,,,,,,,,,
15nc,GOST 1050-1988 表面光洁的优质碳素结构钢棒料规格,碳钢,优质碳素钢  半镇静钢,,,,,,,,,,,,,
SM48,YB /T 107-2013 塑料模具用热轧钢板,碳钢,,,,,,,,,,,,,,
C45,ISO 683-1-2016 淬火和回火用非合金钢,碳钢,优质钢,,,,,,,,,,,,,
A108 Grade 1050,ASTM A108-1999 冷成形钢棒品质的标准规范,碳钢,,本规范涵盖按化学成分生产的标准质量冷加工碳钢棒。标准质量的冷加工棒材适用于热处理，加工成部件，或在成品状态下使用，如轴系，或建筑应用，或用于其他类似用途。钢材的等级由等级编号或化学成分确定。,G10500,,,,,,,,,,,
36Mo3E,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,表面硬化型冷镦钢,,,,,,,,,C22,,,,
C120U,DIN EN ISO 4957-2018 工具钢,碳钢,冷作非合金工具钢,,,,,,1.1555,,7.85 g/cm3,,,,,
E5518-N5,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
C10E,DIN EN ISO 683-3-2019 热处理钢、合金钢和易切削钢 -- 第3部分：表面硬化钢,碳钢,高级优质非合金钢,,,,,,,,,,,,,
